KURUM,YIL,LINK
İSTANBUL KÜÇÜKÇEKMECE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3860-istanbul-kucukcekmece-belediyesi
İSTANBUL KÜLTÜR VE SANAT ÜRÜNLERİ TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3861-istanbul-kultur-ve-sanat-urunleri-ticare
İSTANBUL MALTEPE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3862-istanbul-maltepe-belediyesi
İSTANBUL SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (İSKİ),2020,https://www.sayistay.gov.tr/reports/download/3863-istanbul-su-ve-kanalizasyon-idaresi-gene
İSTANBUL SULTANBEYLİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3864-istanbul-sultanbeyli-belediyesi
İSTANBUL SULTANGAZİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3865-istanbul-sultangazi-belediyesi
İSTANBUL ÜSKÜDAR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3866-istanbul-uskudar-belediyesi
İSTANBUL ZEYTİNBURNU BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3867-istanbul-zeytinburnu-belediyesi
İZMİR ALİAĞA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3868-izmir-aliaga-belediyesi
İZMİR BALÇOVA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3869-izmir-balcova-belediyesi
İZMİR BAYRAKLI BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3870-izmir-bayrakli-belediyesi
İZMİR BORNOVA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3871-izmir-bornova-belediyesi
İZMİR BUCA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3872-izmir-buca-belediyesi
İZMİR BÜYÜKŞEHİR BELEDİYESİ İZULAŞ A.Ş.,2020,https://www.sayistay.gov.tr/reports/download/3873-izmir-buyuksehir-belediyesi-izulas-as
İZMİR BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3874-izmir-buyuksehir-belediyesi
İZMİR ÇİĞLİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3875-izmir-cigli-belediyesi
İZMİR DENİZ İŞLETMECİLİĞİ NAKLİYE VE TURİZM TİC. A.Ş.,2020,https://www.sayistay.gov.tr/reports/download/3876-izmir-deniz-isletmeciligi-nakliye-ve-tur
"İZMİR ELEKTRİK, SU, HAVAGAZI, OTOBÜS VE TROLEYBÜS GENEL MÜDÜRLÜĞÜ (ESHOT)",2020,https://www.sayistay.gov.tr/reports/download/3877-izmir-elektrik-su-havagazi-otobus-ve-tro
İZMİR GAZİEMİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3878-izmir-gaziemir-belediyesi
İZMİR KARABAĞLAR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3879-izmir-karabaglar-belediyesi
İZMİR KARABURUN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3880-izmir-karaburun-belediyesi
İZMİR KARŞIYAKA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3881-izmir-karsiyaka-belediyesi
İZMİR KONAK BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3882-izmir-konak-belediyesi
İZMİR MENDERES BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3883-izmir-menderes-belediyesi
İZMİR MENEMEN BELEDİYESİ META-SU İNŞAAT TAŞIMACILIK UNLU MAMULLER TURİZM SAN. TİC. LTD. ŞTİ.,2020,https://www.sayistay.gov.tr/reports/download/3884-izmir-menemen-belediyesi-meta-su-insaat
İZMİR MENEMEN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3885-izmir-menemen-belediyesi
KAHRAMANMARAŞ BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3886-kahramanmaras-buyuksehir-belediyesi
KAYSERİ BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3887-kayseri-buyuksehir-belediyesi
KAYSERİ KOCASİNAN BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3888-kayseri-kocasinan-belediyesi
KAYSERİ MELİKGAZİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3889-kayseri-melikgazi-belediyesi
KAYSERİ PINARBAŞI BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3890-kayseri-pinarbasi-belediyesi
KAYSERİ TALAS BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3891-kayseri-talas-belediyesi
KAYSERİ TURİZM EĞİTİM KÜLTÜR TİCARET ANONİM ŞİRKETİ (KAY-TUR A.Ş.),2020,https://www.sayistay.gov.tr/reports/download/3892-kayseri-turizm-egitim-kultur-ticaret-ano
KIRIKKALE BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3893-kirikkale-belediyesi
KIRKLARELİ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3894-kirklareli-belediyesi
KIRKLARELİ LÜLEBURGAZ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3895-kirklareli-luleburgaz-belediyesi
KİLİS BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3896-kilis-belediyesi
KİPTAŞ İSTANBUL KONUT İMAR PLAN TURİZM ULAŞIM SANAYİ VE TİCARET ANONİM ŞİRKETİ,2020,https://www.sayistay.gov.tr/reports/download/3897-kiptas-istanbul-konut-imar-plan-turizm-u
KOCAELİ BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3898-kocaeli-buyuksehir-belediyesi
KOCAELİ İZMİT BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3899-kocaeli-izmit-belediyesi
KOCAELİ KÖRFEZ BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3900-kocaeli-korfez-belediyesi
KOCAELİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ (İSU),2020,https://www.sayistay.gov.tr/reports/download/3901-kocaeli-su-ve-kanalizasyon-idaresi-genel
KONYA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3902-konya-buyuksehir-belediyesi
KONYA MERAM BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3903-konya-meram-belediyesi
KONYA SELÇUKLU BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3904-konya-selcuklu-belediyesi
KÜTAHYA BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3905-kutahya-belediyesi
MALATYA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3906-malatya-buyuksehir-belediyesi
MANİSA AKHİSAR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3907-manisa-akhisar-belediyesi
MANİSA BÜYÜKŞEHİR BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3908-manisa-buyuksehir-belediyesi
MANİSA SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3909-manisa-su-ve-kanalizasyon-idaresi-genel
MANİSA ŞEHZADELER BELEDİYESİ,2020,https://www.sayistay.gov.tr/reports/download/3910-manisa-sehzadeler-belediyesi
MARDİN BÜYÜKŞEHİR BELEDİYESİ SU VE KANALİZASYON İDARESİ GENEL MÜDÜRLÜĞÜ,2020,https://www.sayistay.gov.tr/reports/download/3911-mardin-buyuksehir-belediyesi-su-ve-kanal
